상호명,지점명,상권업종소분류명,시도명,시군구명,행정동명,경도,위도
데미타스커피,,커피전문점/카페/다방,서울특별시,양천구,목1동,126.8715543,37.52747711
글로리아진스커피,,커피전문점/카페/다방,서울특별시,서초구,양재1동,127.0212952,37.46558598
메이드커피,,커피전문점/카페/다방,서울특별시,양천구,목1동,126.8707477,37.52769466
빽다방,어린이대공원역점,커피전문점/카페/다방,서울특별시,광진구,군자동,127.0723089,37.54809278
킴스테이블,,커피전문점/카페/다방,서울특별시,도봉구,창5동,127.0408462,37.65496612
베네핏카페,,커피전문점/카페/다방,서울특별시,서대문구,신촌동,126.9385569,37.55596758
고관한복촬영소,,커피전문점/카페/다방,서울특별시,중구,명동,126.9833248,37.5614074
자올카페,,커피전문점/카페/다방,서울특별시,광진구,구의3동,127.0900334,37.54139172
미스터프랭크,,커피전문점/카페/다방,서울특별시,강동구,성내1동,127.1218061,37.5280804
폴바셋,올림픽공원북2문점,커피전문점/카페/다방,서울특별시,강동구,성내1동,127.1286847,37.52421175
빽다방외대역점,외대역점,커피전문점/카페/다방,서울특별시,동대문구,이문1동,127.0621597,37.59577708
카페IN,,커피전문점/카페/다방,서울특별시,강동구,명일1동,127.1468857,37.54823165
빌리엔젤강남,,커피전문점/카페/다방,서울특별시,강남구,역삼1동,127.0270705,37.50143268
카페스타,,커피전문점/카페/다방,서울특별시,광진구,화양동,127.0719708,37.54341367
킹커피,,커피전문점/카페/다방,서울특별시,중구,장충동,127.0066558,37.55863256
베이직하우스,B가로수길점,커피전문점/카페/다방,서울특별시,강남구,신사동,127.0229877,37.51791529
커피빈,광장동대한제지점,커피전문점/카페/다방,서울특별시,광진구,광장동,127.102912,37.54413034
카페멜로우,,커피전문점/카페/다방,서울특별시,송파구,가락본동,127.1265438,37.50114683
카페이룸대치점,대치점,커피전문점/카페/다방,서울특별시,강남구,대치2동,127.0621611,37.49901331
xoxo,,커피전문점/카페/다방,서울특별시,광진구,화양동,127.0718704,37.54329574
lcm,,커피전문점/카페/다방,서울특별시,중구,다산동,127.0096078,37.55365656
JUSTGUINNESS,,커피전문점/카페/다방,서울특별시,강남구,논현1동,127.0244072,37.51749452
율리커피,,커피전문점/카페/다방,서울특별시,서초구,양재1동,127.0385682,37.48059527
엔커피,,커피전문점/카페/다방,서울특별시,금천구,가산동,126.884794,37.48166769
커피앤브레드,,커피전문점/카페/다방,서울특별시,강남구,신사동,127.026361,37.52209699
카페알롱제,,커피전문점/카페/다방,서울특별시,광진구,광장동,127.1082469,37.54751366
